Departmental Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Corporate,05/08/2011,BANKING AND ENCASHMENT COSTS,GROUP FINANCE,HSBC BANK PLC,612317,"Ł28,025"
Department for Work and Pensions,Corporate,05/08/2011,BANKING AND ENCASHMENT COSTS,Shared Services,HSBC BANK PLC,612317,Ł805
Department for Work and Pensions,Corporate,05/08/2011,BANKING AND ENCASHMENT COSTS,Shared Services,HSBC BANK PLC,612317,Ł260
Department for Work and Pensions,Corporate,05/08/2011,GRANTS IN AID,Corporate & Support Services,THE PENSIONS REGULATOR,1004927,"Ł3,822,000"
Department for Work and Pensions,Jobcentre Plus,11/08/2011,PAYMENTS TO CSAS,Jobcentre Plus,DEPARTMENT FOR SOCIAL DEVELOPMENT,1004928,"Ł3,107,504"
Department for Work and Pensions,Corporate,15/08/2011,UNALLOCATED BUDGET GROUP,WWG SUMMARY,MOTABILITY,1004930,"Ł83,342"
Department for Work and Pensions,Corporate,16/08/2011,OTHER MAJOR CONTRACTS,GROUP FINANCE,SANTANDER,1004932,"Ł1,191,476"
Department for Work and Pensions,Corporate,16/08/2011,BANKING AND ENCASHMENT COSTS,Shared Services,SANTANDER,1004932,Ł200
Department for Work and Pensions,Employment Programmes,18/08/2011,REMPLOY,WWEG EMPLOYMENT PROGRAMMES,REMPLOY LTD,1004934,"Ł1,000,000"
Department for Work and Pensions,Corporate,26/08/2011,BANKING AND ENCASHMENT COSTS,GROUP FINANCE,POST OFFICE LTD,1004937,"Ł5,483,567"
Department for Work and Pensions,Jobcentre Plus,30/08/2011,PAYMENTS TO CSAS,Jobcentre Plus,DEPARTMENT FOR SOCIAL DEVELOPMENT,1004939,"Ł1,516,489"
Department for Work and Pensions,Corporate,05/08/2011,Accommodation Costs,GROUP FINANCE,HM REVENUE & CUSTOMS,2002732,"Ł57,977"
Department for Work and Pensions,Corporate,08/08/2011,PROFESSIONAL FEES,Shared Services,AON HEWITT LTD,2002733,"Ł22,300"
Department for Work and Pensions,Corporate,08/08/2011,Consultancy Fee,EG SUMMARY,HM TREASURY,2002735,"Ł70,825"
Department for Work and Pensions,Corporate,08/08/2011,MISCELLANEOUS EXPENDITURE,WWG SUMMARY,INDEPENDENT LIVING FUND,2002736,"Ł580,000"
Department for Work and Pensions,Corporate,18/08/2011,OTHER GOODS AND SERVICES,WWG SUMMARY,VALUATION OFFICE AGENCY,2002748,"Ł1,202,585"
Department for Work and Pensions,Corporate,18/08/2011,Accommodation Costs,GROUP FINANCE,VALUATION OFFICE AGENCY,2002748,"Ł36,655"
Department for Work and Pensions,Corporate,22/08/2011,Accommodation Costs,GROUP FINANCE,HM REVENUE & CUSTOMS,2002753,"Ł1,402,674"
Department for Work and Pensions,Corporate,22/08/2011,Accommodation Costs,GROUP FINANCE,HM REVENUE & CUSTOMS,2002753,"Ł1,939,361"
Department for Work and Pensions,Corporate,22/08/2011,Accommodation Costs,GROUP FINANCE,HM REVENUE & CUSTOMS,2002753,"Ł30,487"
Department for Work and Pensions,Corporate,22/08/2011,COMPUTER SERVICES,Corporate & Support Services,HM REVENUE & CUSTOMS,2002753,"Ł132,000"
Department for Work and Pensions,Corporate,22/08/2011,EMPLOYMENT PROGRAMMES,"Pensions, Disability & Carers Service",NEST CORPORATION,2002754,"Ł4,000,000"
Department for Work and Pensions,Employment Programmes,23/08/2011,INTRA DWP PAYABLES,"Pensions, Disability & Carers Service",DWP,2002755,"Ł481,370"
Department for Work and Pensions,Corporate,25/08/2011,COMPUTER SERVICES,Corporate & Support Services,HMRC,2002758,"Ł464,689"
Department for Work and Pensions,"Pension, Disability Carers Services",26/08/2011,MISCELLANEOUS EXPENDITURE,"Pensions, Disability & Carers Service",FOREIGN & COMMONWEALTH OFFICE,2002759,"Ł168,159"
Department for Work and Pensions,Corporate,31/08/2011,INTRA DWP PAYABLES,"Pensions, Disability & Carers Service",CONSOLIDATED FUND,2002766,"Ł3,594,443"
Department for Work and Pensions,Jobcentre Plus,31/08/2011,INTRA DWP PAYABLES,"Pensions, Disability & Carers Service",CONSOLIDATED FUND,2002766,"Ł6,748"
Department for Work and Pensions,"Pension, Disability Carers Services",31/08/2011,INTRA DWP PAYABLES,"Pensions, Disability & Carers Service",CONSOLIDATED FUND,2002766,"Ł1,953"
Department for Work and Pensions,Corporate,31/08/2011,ACCOMMODATION,GROUP FINANCE,DEPARTMENT OF HEALTH,2002769,"Ł13,455"
Department for Work and Pensions,Corporate,31/08/2011,ACCOMMODATION,GROUP FINANCE,DEPARTMENT OF HEALTH,2002769,"Ł19,461"
Department for Work and Pensions,Corporate,31/08/2011,ACCOMMODATION,GROUP FINANCE,HMRC,2002771,"Ł35,792"
Department for Work and Pensions,Corporate,31/08/2011,ACCOMMODATION,GROUP FINANCE,HMRC,2002771,"Ł37,068"
Department for Work and Pensions,Corporate,31/08/2011,ACCOMMODATION,GROUP FINANCE,TRIBUNALS SERVICE,2002772,"Ł39,499"
Department for Work and Pensions,Corporate,31/08/2011,ACCOMMODATION,GROUP FINANCE,CHILD MAINTENANCE ENFORCEMENT COMMISSION,2002775,"Ł77,671"
Department for Work and Pensions,Corporate,31/08/2011,ACCOMMODATION,GROUP FINANCE,CHILD MAINTENANCE ENFORCEMENT COMMISSION,2002775,"Ł44,728"
Department for Work and Pensions,Corporate,31/08/2011,ACCOMMODATION,GROUP FINANCE,SPVA,2002782,"Ł11,730"
Department for Work and Pensions,Corporate,31/08/2011,ACCOMMODATION,GROUP FINANCE,SPVA,2002782,"Ł16,965"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł36,418"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł25,077"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł2,474"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł9,360"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł11,538"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł5,508"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł7,540"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł10,755"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł5,998"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"Ł7,333"
